date,steps
2016-10-09,3289
2016-10-10,14825
2016-10-11,7667
2016-10-12,10633
2016-10-13,4242
2016-10-14,9607
2016-10-15,12616
2016-10-16,11623
2016-10-17,4074
2016-10-18,3137
2016-10-19,8241
2016-10-20,4986
2016-10-21,2763
2016-10-22,9027
2016-10-23,14153
2016-10-24,9029
2016-10-25,4752
2016-10-26,2636
2016-10-27,3986
2016-10-28,12073
2016-10-29,25803
2016-10-30,12545
2016-10-31,3018
2016-11-01,4146
2016-11-02,3119
2016-11-03,4169
2016-11-04,11212
2016-11-05,13666
2016-11-06,11413
2016-11-07,4269
2016-11-08,9032
2016-11-09,2122
2016-11-10,9432
2016-11-11,10380
2016-11-12,11145
2016-11-13,14489
2016-11-14,2985
2016-11-15,2649
2016-11-16,4301
2016-11-17,6758
2016-11-18,14244
2016-11-19,7061
2016-11-20,6673
2016-11-21,2987
2016-11-22,3304
2016-11-23,5383
2016-11-24,1386
2016-11-25,228
2016-11-26,6342
2016-11-27,6220
2016-11-28,2595
2016-11-29,2078
2016-11-30,3252
2016-12-01,4269
2016-12-02,3298
2016-12-03,9370
2016-12-04,527
2016-12-05,12711
2016-12-06,3891
2016-12-07,3349
2016-12-08,3782
2016-12-09,3251
2016-12-10,13939
2016-12-11,8790
2016-12-12,2263
2016-12-13,2876
2016-12-14,3513
2016-12-15,6058
2016-12-16,12024
2016-12-17,11509
2016-12-18,9289
2016-12-19,5240
2016-12-20,5408
2016-12-21,8671
2016-12-22,12046
2016-12-23,3638
2016-12-24,1135
2016-12-25,15460
2016-12-26,2957
2016-12-27,3343
2016-12-28,2839
2016-12-29,2717
2016-12-30,7483
2016-12-31,22195
2017-01-01,8148
2017-01-02,782
2017-01-03,2469
2017-01-04,8605
2017-01-05,1882
2017-01-06,7468
2017-01-07,3732
2017-01-08,1583
2017-01-09,2898
2017-01-10,6350
2017-01-11,4495
2017-01-12,4524
2017-01-13,2958
2017-01-14,2614
2017-01-15,12672
2017-01-16,9332
2017-01-17,3620
2017-01-18,4422
2017-01-19,2792
2017-01-20,243
2017-01-21,17730
2017-01-22,123
2017-01-23,5695
2017-01-24,3354
2017-01-25,6710
2017-01-26,11930
2017-01-27,6596
2017-01-28,7691
2017-01-29,17341
2017-01-30,4769
2017-01-31,3894
2017-02-01,3502
2017-02-02,3652
2017-02-03,3774
2017-02-04,13803
2017-02-05,1623
2017-02-06,3652
2017-02-07,2876
2017-02-08,7928
2017-02-09,30644
2017-02-10,23394
2017-02-11,13433
2017-02-12,16552
2017-02-13,25195
2017-02-14,3004
2017-02-15,3237
2017-02-16,6256
2017-02-17,2935
2017-02-18,9187
2017-02-19,18531
2017-02-20,24943
2017-02-21,9648
2017-02-22,8494
2017-02-23,7913
2017-02-24,6744
2017-02-25,8389
2017-02-26,15517
2017-02-27,5818
2017-02-28,8795
2017-03-01,8668
2017-03-02,12065
2017-03-03,3126
2017-03-04,6734
2017-03-05,11441
2017-03-06,1769
2017-03-07,2362
2017-03-08,8486
2017-03-09,9898
2017-03-10,8397
2017-03-11,6591
2017-03-12,6394
2017-03-13,7690
2017-03-14,302
2017-03-15,8958
2017-03-16,4776
2017-03-17,11900
2017-03-18,6758
2017-03-19,8516
2017-03-20,2120
2017-03-21,9295
2017-03-22,3433
2017-03-23,1812
2017-03-24,294
2017-03-25,7187
2017-03-26,2614
2017-03-27,11044
2017-03-28,3046
2017-03-29,2851
2017-03-30,10277
2017-03-31,8383
2017-04-01,8944
2017-04-02,5615
2017-04-03,2070
2017-04-04,3378
2017-04-05,8624
2017-04-06,9558
2017-04-07,3219
2017-04-08,32478
2017-04-09,13077
2017-04-10,3686
2017-04-11,3949
2017-04-12,8650
2017-04-13,7801
2017-04-14,10255
2017-04-15,17200
2017-04-16,2042
2017-04-17,4341
2017-04-18,12366
2017-04-19,6715
2017-04-20,6812
2017-04-21,11617
2017-04-22,13345
2017-04-23,12597
2017-04-24,3093
2017-04-25,5555
2017-04-26,10179
2017-04-27,10956
2017-04-28,14615
2017-04-29,6410
2017-04-30,5402
2017-05-01,9332
2017-05-02,13355
2017-05-03,10225
2017-05-04,19526
2017-05-05,13762
2017-05-06,13388
2017-05-07,17497
2017-05-08,3390
2017-05-09,8316
2017-05-10,2424
2017-05-11,4198
2017-05-12,4140
2017-05-13,14618
2017-05-14,12226
2017-05-15,14911
2017-05-16,9358
2017-05-17,12873
2017-05-18,4290
2017-05-19,17246
2017-05-20,21834
2017-05-21,9502
2017-05-22,4548
2017-05-23,5119
2017-05-24,7542
2017-05-25,7959
2017-05-26,10185
2017-05-27,13197
2017-05-28,16833
2017-05-29,20116
2017-05-30,3129
2017-05-31,14330
2017-06-01,11123
2017-06-02,17989
2017-06-03,17559
2017-06-04,9670
2017-06-05,9563
2017-06-06,14006
2017-06-07,7242
2017-06-08,7026
2017-06-09,13892
2017-06-10,15103
2017-06-11,9745
2017-06-12,7880
2017-06-13,14169
2017-06-14,8544
2017-06-15,13551
2017-06-16,9876
2017-06-17,5634
2017-06-18,16051
2017-06-19,8567
2017-06-20,12391
2017-06-21,11881
2017-06-22,14749
2017-06-23,10290
2017-06-24,9574
2017-06-25,12338
2017-06-26,14265
2017-06-27,13365
2017-06-28,12823
2017-06-29,12002
2017-06-30,12818
2017-07-01,12355
2017-07-02,17551
2017-07-03,8887
2017-07-04,2456
2017-07-05,5469
2017-07-06,6550
2017-07-07,9209
2017-07-08,15915
2017-07-09,12104
2017-07-10,12889
2017-07-11,7220
2017-07-12,12828
2017-07-13,11974
2017-07-14,7971
2017-07-15,14582
2017-07-16,9348
2017-07-17,5430
2017-07-18,4649
2017-07-19,8431
2017-07-20,5230
2017-07-21,8207
2017-07-22,9872
2017-07-23,10361
2017-07-24,7625
2017-07-25,8814
2017-07-26,10590
2017-07-27,16450
2017-07-28,21811
2017-07-29,16409
2017-07-30,13003
2017-07-31,7135
2017-08-01,8017
2017-08-02,6388
2017-08-03,9849
2017-08-04,7951
2017-08-05,12250
2017-08-06,5723
2017-08-07,8827
2017-08-08,8827
2017-08-09,14448
2017-08-10,13655
2017-08-11,10850
2017-08-12,12471
2017-08-13,13631
2017-08-14,9790
2017-08-15,8479
2017-08-16,7252
2017-08-17,10782
2017-08-18,4615
2017-08-19,17394
2017-08-20,7006
2017-08-21,7635
2017-08-22,5251
2017-08-23,7147
2017-08-24,6660
2017-08-25,6714
2017-08-26,16467
2017-08-27,14835
2017-08-28,4608
2017-08-29,12827
2017-08-30,5798
2017-08-31,6969
2017-09-01,4393
2017-09-02,10436
2017-09-03,20980
2017-09-04,17127
2017-09-05,7189
2017-09-06,12972
2017-09-07,10590
2017-09-08,9738
2017-09-09,8681
2017-09-10,12402
